model,threshold,precision,recall,f1
logreg,0.5306122448979591,0.09295741417954465,0.6326776395022079,0.16209822576497815
logreg,0.5510204081632653,0.09423886410755795,0.602167804094741,0.16297262059973924
logreg,0.5714285714285714,0.0979754892003521,0.5808912083500603,0.16767091541135573
logreg,0.5918367346938775,0.09905694334461163,0.5523885989562425,0.16798925650103771
logreg,0.6122448979591836,0.10304173543975477,0.5262946607788037,0.1723412646246878
logreg,0.6326530612244897,0.10690747239578875,0.5014050582095544,0.17623818258783688
logreg,0.6530612244897959,0.10705033308660251,0.4644720995584103,0.1739980449657869
logreg,0.673469387755102,0.10950601070815234,0.43516659975913285,0.17497982243744956
logreg,0.6938775510204082,0.11076461076461076,0.3849859494179045,0.17203336622118576
logreg,0.7142857142857142,0.11543869516310461,0.3295865114411883,0.17098823284390294
logreg,0.7346938775510203,0.11191728641393071,0.2476916900843035,0.15417291354322837
logreg,0.7551020408163265,0.11236230110159119,0.18426334805299077,0.1395985401459854
logreg,0.7755102040816326,0.11396927474097893,0.12806101967081493,0.12060491493383743
logreg,0.7959183673469387,0.0972972972972973,0.06503412284223203,0.07795957651588066
logreg,0.8163265306122448,0.11386696730552424,0.04054596547571256,0.05979869745411486
logreg,0.836734693877551,0.109375,0.019670814933761542,0.03334467505954406
logreg,0.8571428571428571,0.11801242236024845,0.0076274588518667205,0.014328808446455505
logreg,0.8775510204081632,0.12727272727272726,0.0028101164191087916,0.0054988216810683424
logreg,0.8979591836734693,0.08333333333333333,0.0004014452027298274,0.0007990411506192569
logreg,0.9183673469387754,0.0,0.0,0.0
logreg,0.9387755102040816,0.0,0.0,0.0
logreg,0.9591836734693877,0.0,0.0,0.0
logreg,0.9795918367346939,0.0,0.0,0.0
logreg,1.0,0.0,0.0,0.0
rf,0.0,0.03785024007779736,1.0,0.07293969518176362
rf,0.02040816326530612,0.03785345089692916,0.9995985547972702,0.07294458847827043
rf,0.04081632653061224,0.03792409079814498,0.9979927739863509,0.07307144011874844
rf,0.061224489795918366,0.03804946736867883,0.9979927739863509,0.07330414141860911
rf,0.08163265306122448,0.03811707497230087,0.9943797671617824,0.07341978510559466
rf,0.1020408163265306,0.03831798954963921,0.9891609795262947,0.07377797739351748
rf,0.12244897959183673,0.03881351085125989,0.9807306302689683,0.07467180169027861
rf,0.14285714285714285,0.03934238508097497,0.9654757125652349,0.07560396724352023
rf,0.16326530612244897,0.040839194593849125,0.951023685266961,0.07831534405527364
rf,0.18367346938775508,0.042838043599361234,0.9261340826977118,0.08188836631466856
rf,0.2040816326530612,0.04788144066478548,0.865114411882778,0.09074066276474799
rf,0.22448979591836732,0.05383001049317943,0.8237655560016057,0.1010563640392997
rf,0.24489795918367346,0.06611399676653709,0.7715776796467282,0.12179202838856854
rf,0.26530612244897955,0.07745783804660344,0.7246085909273384,0.1399550283011553
rf,0.2857142857142857,0.09229274611398963,0.6864712966680048,0.16270992911175602
rf,0.3061224489795918,0.10677234357883884,0.665194700923324,0.18400888395335924
rf,0.32653061224489793,0.1163696702979583,0.6475311120032116,0.19728473581213307
rf,0.3469387755102041,0.12677559733968305,0.6198313930148535,0.21049761417859578
rf,0.36734693877551017,0.13691886964448496,0.6029706945002007,0.22316321224277544
rf,0.3877551020408163,0.14396500298270035,0.58129265355279,0.23077536058650092
rf,0.4081632653061224,0.15170312329959734,0.5596146126053794,0.2386986301369863
rf,0.42857142857142855,0.1602833473406171,0.5359293456443196,0.24676524953789278
rf,0.44897959183673464,0.17000929738345066,0.513849859494179,0.2554890219560878
rf,0.4693877551020408,0.1800385585051164,0.48735447611401045,0.2629413038769764
rf,0.4897959183673469,0.1924114671163575,0.458048976314733,0.2709891936824605
rf,0.5102040816326531,0.20714695203516148,0.43516659975913285,0.28068358363542206
rf,0.5306122448979591,0.21879077859939103,0.40385387394620637,0.2838200028212724
rf,0.5510204081632653,0.23169829923588858,0.37735849056603776,0.2871105681124007
rf,0.5714285714285714,0.25365853658536586,0.3548775592131674,0.2958500669344043
rf,0.5918367346938775,0.27538155275381554,0.3331995182657567,0.30154405086285196
rf,0.6122448979591836,0.2926829268292683,0.31312725812926534,0.30256012412723043
rf,0.6326530612244897,0.31681877444589307,0.2926535527900442,0.30425709515859767
rf,0.6530612244897959,0.3602941176470588,0.2753914090726616,0.31217292377701933
rf,0.673469387755102,0.4066624764299183,0.2597350461661983,0.3170014698677119
rf,0.6938775510204082,0.4436146377893951,0.23845845042151748,0.31018276762402086
